date,description,amount
2024-01-02,RENT PAYMENT,-1200.00
2024-01-03,SWIGGY ORDER,-450.00
2024-01-04,AMAZON PURCHASE,-890.00
2024-01-05,SALARY CREDIT,55000.00
2024-01-06,ZOMATO ORDER,-320.00
2024-01-08,DMART GROCERIES,-2100.00
2024-01-10,NETFLIX SUBSCRIPTION,-649.00
2024-01-12,PETROL BUNK,-800.00
2024-01-14,SWIGGY ORDER,-280.00
2024-01-15,ELECTRICITY BILL,-1450.00
2024-01-17,AMAZON PRIME,-1499.00
2024-01-18,PHARMACY,-560.00
2024-01-20,CAFE COFFEE DAY,-380.00
2024-01-22,DMART GROCERIES,-1800.00
2024-01-24,AUTO RICKSHAW,-150.00
2024-01-25,RESTAURANT DINNER,-1200.00
2024-01-27,MOBILE RECHARGE,-399.00
2024-01-28,GYM MEMBERSHIP,-2000.00
2024-01-30,SWIGGY ORDER,-410.00
